exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
Uniswap V3 (Avalanche),Uniswap V3 (Avalanche),53,0.0064361030143742365206000000000000000000,2489516.0727644919389603,4,True,empty_uri,1750493645352
Sushiswap V3 (Base),Sushiswap V3 (Base),54,0.0045686730051085664971000000000000000000,1767185.0267189777002786,1,True,empty_uri,1750493577587
Curve-42161,CURVE (arbitrum),55,0.0021338622354230555304000000000000000000,825388.3320833333203856,10,True,https://curve.fi/,1750493578099
paribu,Paribu,56,0.0018700222271865163464000000000000000000,723333.7285948212150000,14,False,https://www.paribu.com/,1750493645584
coinmate,Coinmate,57,0.0016517900689523185141000000000000000000,638920.4641854817216213,2,True,https://coinmate.io/,1750493636501
btcbox,BTCBOX,58,0.0011367068248124448869000000000000000000,439683.7502556368217891,1,False,https://www.btcbox.co.jp,1750493643822
Curve-10,CURVE (optimism),59,0.0008197043518728379653000000000000000000,317065.6458333333382716,8,True,https://curve.fi/,1750493578373
gopax,GOPAX,60,0.0005951903467990730855000000000000000000,230222.5323928612221257,34,False,https://www.gopax.co.kr/,1750493667205
Uniswap V3 (Unichain),Uniswap V3 (Unichain),61,0.0003634688240572618529000000000000000000,140591.5159248487655559,1,True,empty_uri,1750493555876
SushiSwap (Arbitrum),SushiSwap (Arbitrum),62,0.0003613436580910846287000000000000000000,139769.4913521726749640,3,True,empty_uri,1750493237737
Curve-8453,CURVE (base),63,0.0002559970958121839353000000000000000000,99020.9266666666608995,3,True,https://curve.fi/,1750493576962
cex,Cex,64,0.0002545310880947615414000000000000000000,98453.8677232083607600,62,False,https://www.cex.io/,1750493655050
Shibaswap,Shibaswap,65,0.0001908809889429756252000000000000000000,73833.6985746524008939,6,True,empty_uri,1750493174872
Curve-137,CURVE (polygon),66,0.0001291184277709990868000000000000000000,49943.6383333333368240,4,True,https://curve.fi/,1750493577078
Sushiswap V3 (Optimism),Sushiswap V3 (Optimism),67,0.0001248285449366761038000000000000000000,48284.2907059768907130,2,True,empty_uri,1750493026710
pancakeswap-v1-bsc,pancakeswap-v1-bsc,68,0.0000747399622569370684000000000000000000,28909.7823482471108180,7,True,empty_uri,1750493593346
Fraxswap (Ethereum),Fraxswap (Ethereum),69,0.0000632598166713568941000000000000000000,24469.2059794182901620,3,True,empty_uri,1750492679162
Fraxswap (Optimism),Fraxswap (Optimism),70,0.0000535220926649107776000000000000000000,20702.6067854572453640,1,True,empty_uri,1750493667731
Pancakeswap V1 (BSC),Pancakeswap V1 (BSC),71,0.0000367908183187832659000000000000000000,14230.8681713470681050,1,True,empty_uri,1750493597908
